TIME(y) R_IN(t) R_OUT(t) STOCK(t)  
43.75 1230 1097.31 1097.3
43.8333 1230 1097.31 1097.3
43.9167 1230 1097.31 1097.3
44 1230 1097.31 1097.3
44.0833 1230 1097.31 1097.3
44.1667 1230 1097.31 1097.3
44.25 1230 1097.31 1097.3
44.3333 1230 1097.31 1097.3
44.4167 1230 1097.31 1097.3
44.5 1230 1097.31 1097.3
44.5833 1230 1097.31 1097.3
44.6667 1230 1097.31 1097.3
44.75 1230 1097.31 1097.3
44.8333 1230 1097.31 1097.3
44.9167 1230 1097.31 1097.3
45 1230 1097.31 1097.3
45.0833 1312 1175.69 1175.68
45.1667 1312 1175.69 1175.68
45.25 1312 1175.69 1175.68
45.3333 1312 1175.69 1175.68
45.4167 1312 1175.69 1175.68
45.5 1312 1175.69 1175.68
45.5833 1312 1175.69 1175.68
45.6667 1312 1175.69 1175.68
45.75 1312 1175.69 1175.68
45.8333 1312 1175.69 1175.68
45.9167 1312 1175.69 1175.68
46 1312 1175.69 1175.68
46.0833 1312 1175.69 1175.68
46.1667 1312 1175.69 1175.68
46.25 1312 1175.69 1175.68
46.3333 1312 1175.69 1175.68
46.4167 1312 1175.69 1175.68
46.5 1312 1175.69 1175.68
46.5833 1312 1175.69 1175.68
46.6667 1312 1175.69 1175.68
46.75 1312 1175.69 1175.68
46.8333 1312 1175.69 1175.68
46.9167 1312 1175.69 1175.68
47 1312 1175.69 1175.68
47.0833 1312 1175.69 1175.68
47.1667 1312 1175.69 1175.68
47.25 1312 1175.69 1175.68
47.3333 1312 1175.69 1175.68
47.4167 1312 1175.69 1175.68
47.5 1312 1175.69 1175.68
47.5833 1312 1175.69 1175.68
47.6667 1312 1175.69 1175.68
47.75 1312 1175.69 1175.68
47.8333 1312 1175.69 1175.68
47.9167 1312 1175.69 1175.68
48 1312 1175.69 1175.68
48.0833 1394 1254.07 1254.06
48.1667 1394 1254.07 1254.06
48.25 1394 1254.07 1254.06
48.3333 1394 1254.07 1254.06
48.4167 1394 1254.07 1254.06
48.5 1394 1254.07 1254.06
48.5833 1394 1254.07 1254.06
48.6667 1394 1254.07 1254.06
48.75 1394 1254.07 1254.06
48.8333 1394 1254.07 1254.06
48.9167 1394 1254.07 1254.06
49 1394 1254.07 1254.06
49.0833 1394 1254.07 1254.06
49.1667 1394 1254.07 1254.06
49.25 1394 1254.07 1254.06
49.3333 1394 1254.07 1254.06
49.4167 1394 1254.07 1254.06
49.5 1394 1254.07 1254.06
49.5833 1394 1254.07 1254.06
49.6667 1394 1254.07 1254.06
49.75 1394 1254.07 1254.06
49.8333 1394 1254.07 1254.06
49.9167 1394 1254.07 1254.06
50 1394 1254.07 1254.06
50.0833 1394 1254.07 1254.06
50.1667 1394 1254.07 1254.06
50.25 1394 1254.07 1254.06
50.3333 1394 1254.07 1254.06
50.4167 1394 1254.07 1254.06
50.5 1394 1254.07 1254.06
50.5833 1394 1254.07 1254.06
50.6667 1394 1254.07 1254.06
50.75 1394 1254.07 1254.06
50.8333 1394 1254.07 1254.06
50.9167 1394 1254.07 1254.06
51 1394 1254.07 1254.06
51.0833 1476 1332.45 1332.44
51.1667 1476 1332.45 1332.44
51.25 1476 1332.45 1332.44
51.3333 1476 1332.45 1332.44
51.4167 1476 1332.45 1332.44
51.5 1476 1332.45 1332.44
51.5833 1476 1332.45 1332.44
51.6667 1476 1332.45 1332.44
51.75 1476 1332.45 1332.44
51.8333 1476 1332.45 1332.44
51.9167 1476 1332.45 1332.44
52 1476 1332.45 1332.44
52.0833 1476 1332.45 1332.44
52.1667 1476 1332.45 1332.44
52.25 1476 1332.45 1332.44
52.3333 1476 1332.45 1332.44
52.4167 1476 1332.45 1332.44
52.5 1476 1332.45 1332.44
52.5833 1476 1332.45 1332.44
52.6667 1476 1332.45 1332.44
52.75 1476 1332.45 1332.44
52.8333 1476 1332.45 1332.44
52.9167 1476 1332.45 1332.44
53 1476 1332.45 1332.44
53.0833 1476 1332.45 1332.44
53.1667 1476 1332.45 1332.44
53.25 1476 1332.45 1332.44
53.3333 1476 1332.45 1332.44
53.4167 1476 1332.45 1332.44
53.5 1476 1332.45 1332.44
53.5833 1476 1332.45 1332.44
53.6667 1476 1332.45 1332.44
53.75 1476 1332.45 1332.44
53.8333 1476 1332.45 1332.44
53.9167 1476 1332.45 1332.44
54 1476 1332.45 1332.44
54.0833 1558 1410.83 1410.82
54.1667 1558 1410.83 1410.82
54.25 1558 1410.83 1410.82
54.3333 1558 1410.83 1410.82
54.4167 1558 1410.83 1410.82
54.5 1558 1410.83 1410.82
54.5833 1558 1410.83 1410.82
54.6667 1558 1410.83 1410.82
54.75 1558 1410.83 1410.82
54.8333 1558 1410.83 1410.82
54.9167 1558 1410.83 1410.82
55 1558 1410.83 1410.82
55.0833 1558 1410.83 1410.82
55.1667 1558 1410.83 1410.82
55.25 1558 1410.83 1410.82
55.3333 1558 1410.83 1410.82
55.4167 1558 1410.83 1410.82
55.5 1558 1410.83 1410.82
55.5833 1558 1410.83 1410.82
55.6667 1558 1410.83 1410.82
55.75 1558 1410.83 1410.82
55.8333 1558 1410.83 1410.82
55.9167 1558 1410.83 1410.82
56 1558 1410.83 1410.82
56.0833 1558 1410.83 1410.82
56.1667 1558 1410.83 1410.82
56.25 1558 1410.83 1410.82
56.3333 1558 1410.83 1410.82
56.4167 1558 1410.83 1410.82
56.5 1558 1410.83 1410.82
56.5833 1558 1410.83 1410.82
56.6667 1558 1410.83 1410.82
56.75 1558 1410.83 1410.82
56.8333 1558 1410.83 1410.82
56.9167 1558 1410.83 1410.82
57 1558 1410.83 1410.82
57.0833 1640 1489.21 1489.2
57.1667 1640 1489.21 1489.2
57.25 1640 1489.21 1489.2
57.3333 1640 1489.21 1489.2
57.4167 1640 1489.21 1489.2
57.5 1640 1489.21 1489.2
57.5833 1640 1489.21 1489.2
57.6667 1640 1489.21 1489.2
57.75 1640 1489.21 1489.2
57.8333 1640 1489.21 1489.2
57.9167 1640 1489.21 1489.2
58 1640 1489.21 1489.2
58.0833 1640 1489.21 1489.2
58.1667 1640 1489.21 1489.2
58.25 1640 1489.21 1489.2
58.3333 1640 1489.21 1489.2
58.4167 1640 1489.21 1489.2
58.5 1640 1489.21 1489.2
58.5833 1640 1489.21 1489.2
58.6667 1640 1489.21 1489.2
58.75 1640 1489.21 1489.2
58.8333 1640 1489.21 1489.2
58.9167 1640 1489.21 1489.2
59 1640 1489.21 1489.2
59.0833 1640 1489.21 1489.2
59.1667 1640 1489.21 1489.2
59.25 1640 1489.21 1489.2
59.3333 1640 1489.21 1489.2
59.4167 1640 1489.21 1489.2
59.5 1640 1489.21 1489.2
59.5833 1640 1489.21 1489.2
59.6667 1640 1489.21 1489.2
59.75 1640 1489.21 1489.2
59.8333 1640 1489.21 1489.2
59.9167 1640 1489.21 1489.2
60 1640 1489.21 1489.2
60.0833 1722 1567.59 1567.58
60.1667 1722 1567.59 1567.58
60.25 1722 1567.59 1567.58
60.3333 1722 1567.59 1567.58
60.4167 1722 1567.59 1567.58
60.5 1722 1567.59 1567.58
60.5833 1722 1567.59 1567.58
60.6667 1722 1567.59 1567.58
60.75 1722 1567.59 1567.58
60.8333 1722 1567.59 1567.58
60.9167 1722 1567.59 1567.58
61 1722 1567.59 1567.58
61.0833 1722 1567.59 1567.58
61.1667 1722 1567.59 1567.58
61.25 1722 1567.59 1567.58
61.3333 1722 1567.59 1567.58
61.4167 1722 1567.59 1567.58
61.5 1722 1567.59 1567.58
61.5833 1722 1567.59 1567.58
61.6667 1722 1567.59 1567.58
61.75 1722 1567.59 1567.58
61.8333 1722 1567.59 1567.58
61.9167 1722 1567.59 1567.58
62 1722 1567.59 1567.58
62.0833 1722 1567.59 1567.58
62.1667 1722 1567.59 1567.58
62.25 1722 1567.59 1567.58
62.3333 1722 1567.59 1567.58
62.4167 1722 1567.59 1567.58
62.5 1722 1567.59 1567.58
62.5833 1722 1567.59 1567.58
62.6667 1722 1567.59 1567.58
62.75 1722 1567.59 1567.58
62.8333 1722 1567.59 1567.58
62.9167 1722 1567.59 1567.58
63 1722 1567.59 1567.58
63.0833 1804 1645.97 1645.96
63.1667 1804 1645.97 1645.96
63.25 1804 1645.97 1645.96
63.3333 1804 1645.97 1645.96
63.4167 1804 1645.97 1645.96
63.5 1804 1645.97 1645.96
63.5833 1804 1645.97 1645.96
63.6667 1804 1645.97 1645.96
63.75 1804 1645.97 1645.96
63.8333 1804 1645.97 1645.96
63.9167 1804 1645.97 1645.96
64 1804 1645.97 1645.96
64.0833 1804 1645.97 1645.96
64.1667 1804 1645.97 1645.96
64.25 1804 1645.97 1645.96
64.3333 1804 1645.97 1645.96
64.4167 1804 1645.97 1645.96
64.5 1804 1645.97 1645.96
64.5833 1804 1645.97 1645.96
64.6667 1804 1645.97 1645.96
64.75 1804 1645.97 1645.96
64.8333 1804 1645.97 1645.96
64.9167 1804 1645.97 1645.96
65 1804 1645.97 1645.96
65.0833 1804 1645.97 1645.96
65.1667 1804 1645.97 1645.96
65.25 1804 1645.97 1645.96
65.3333 1804 1645.97 1645.96
65.4167 1804 1645.97 1645.96
65.5 1804 1645.97 1645.96
65.5833 1804 1645.97 1645.96
65.6667 1804 1645.97 1645.96
65.75 1804 1645.97 1645.96
65.8333 1804 1645.97 1645.96
65.9167 1804 1645.97 1645.96
66 1804 1645.97 1645.96
66.0833 1886 1724.35 1724.35
66.1667 1886 1724.35 1724.35
66.25 1886 1724.35 1724.35
66.3333 1886 1724.35 1724.35
